sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
752,4016,balapur village,balapur villege,gps-logs-ghz,2,17.30978,78.49942
753,4016,balapur villege,,kodali-stops,5,17.31771,78.52748
754,1749,balapur x road,balapur x road,gps-logs-ghz|kodali-stops,2,17.31894,78.5199
755,1750,balapur x road,balapur x road,gps-logs-ghz|kodali-stops,2,17.31936,78.51905
756,src5_1050,balapur x road,"rci road, midhani quarters, dhatu nagar, kanchan bagh, hyderabad",src5,3,17.31936,78.51901
757,src5_1051,balapur x road,,src5,3,17.31874,78.51907
758,src5_1056,balapur x road,,src5,3,17.31896,78.51981
759,1459,balapur x road,,shakti-gtfs,5,17.31923,78.51933
760,1601,balayya hotel,balayya hotel towards gandhi nagar,gps-logs-ghz|kodali-stops,2,17.5141,78.44178
761,1611,balayya hotel,balayya hotel towards shapur x roads,gps-logs-ghz|kodali-stops,2,17.51407,78.44209
762,src5_868,balayya hotel,,src5,3,17.51401,78.44189
763,src5_869,balayya hotel,,src5,3,17.51406,78.44201
764,1456,balijaguda,,shakti-gtfs,5,17.33634,78.68284
765,1220,balkampet road,,kodali-stops,5,17.43901,78.44817
766,1221,balkampet temple,,kodali-stops,5,17.44713,78.44911
767,1231,balkampet temple,,shakti-gtfs,5,17.44717,78.44918
768,685,banda narsam pally,,shakti-gtfs,5,17.71043,78.66644
769,1239,bandakadpally,,shakti-gtfs,5,17.59114,78.69794
770,src5_30,bandam,"bandam, bandam to rayaraopet road, rayaraopet",src5,3,17.48913,78.72322
771,1450,bandamadharam,,shakti-gtfs,5,17.65212,78.43758
772,1299,bandamylaram,,shakti-gtfs,5,17.70188,78.50937
773,14,bandaravirala,,shakti-gtfs,5,17.38657,78.7158
774,src5_1317,bandathimmapur,bandathimmapur,src5,3,17.71799,78.51995
775,966,bandlaguda,bandlaguda towards mailardev pally,gps-logs-ghz|kodali-stops,2,17.31635,78.46633
776,987,bandlaguda,bandlaguda towards hashambad,gps-logs-ghz|kodali-stops,2,17.31705,78.46618
777,3784,bandlaguda,bundlaguda towards muttuguda,gps-logs-ghz|kodali-stops,2,17.37153,78.56969
778,3969,bandlaguda,bandlaguda,gps-logs-ghz|kodali-stops,2,17.50145,78.62213
779,src5_1433,bandlaguda,,src5,3,17.37148,78.56941
780,src5_1434,bandlaguda,"nagole - bandlaguda road, lalitha nagar, nagole, hyderabad",src5,3,17.37146,78.56956
781,src5_1825,bandlaguda,"ahmedguda,, keesara",src5,3,17.50126,78.62193
782,src5_1826,bandlaguda,,src5,3,17.50093,78.62129
783,src5_2657,bandlaguda,,src5,3,17.31657,78.46615
784,src5_2658,bandlaguda,,src5,3,17.31659,78.46649
785,src5_2661,bandlaguda,,src5,3,17.32225,78.46843
786,node/2346905502,bandlaguda,,osm,4,17.35935,78.38777
787,node/2346905503,bandlaguda,,osm,4,17.35959,78.38769
788,node/2412780245,bandlaguda,,osm,4,17.37147,78.56949
789,src5_2662,bandlaguda / hashamabad,,src5,3,17.32212,78.46868
790,2276,bandlaguda barkas,,shakti-gtfs,5,17.31673,78.46643
791,src5_3973,bandlaguda bus deport,r krishnaiah nagar,src5,3,17.36533,78.58897
792,src5_1769,bandlaguda bus depot,"tirumala residency colony, r krishnaiah nagar, hyderabad",src5,3,17.36523,78.58928
793,src5_1770,bandlaguda bus depot,,src5,3,17.36524,78.58903
794,3796,bandlaguda depot,bandlaguda depot,gps-logs-ghz|kodali-stops,2,17.3655,78.58858
795,src5_410,bandlaguda jagir village,"kismatpur road, velly view enclave, bandlaguda jagir, hyderabad",src5,3,17.3512,78.38999
796,2275,bandlaguda kundanpally,,shakti-gtfs,5,17.50322,78.62458
797,2277,bandlaguda nagole,,shakti-gtfs,5,17.37155,78.56973
798,1512,bandlaguda village,,shakti-gtfs,5,17.35133,78.38994
799,1156,bandlaguda x road,bandlaguda towards kali mandir,gps-logs-ghz|kodali-stops,2,17.35933,78.38764
800,1183,bandlaguda x road,bandlaguda towards sun city,gps-logs-ghz|kodali-stops,2,17.35972,78.38798
801,src5_429,bandlaguda x road,,src5,3,17.3593,78.38765
802,src5_458,bandlaguda x road,,src5,3,17.35976,78.38801
803,src5_459,bandlaguda x road,"chevella road, west end colony, bandlaguda jagir, hyderabad",src5,3,17.35954,78.38799
804,328,bandlaguda x road,,shakti-gtfs,5,17.3594,78.38777
805,926,banjara darwaza,,shakti-gtfs,5,17.39146,78.40014
806,src5_2224,banjara hills,"road number 92, kasu brahmananda reddy national park, banjara hills, hyderabad",src5,3,17.41623,78.41897
807,src5_2230,banjara hills,"road number 92, mla colony, banjara hills, hyderabad",src5,3,17.41612,78.42005
808,src5_2305,banjara hills,"mla colony, banjara hills, hyderabad",src5,3,17.41304,78.42419
809,src5_2315,banjara hills,"road number 2, bnr colony, park view enclave, banjara hills, hyderabad",src5,3,17.42365,78.42732
810,src5_2430,banjara hills,"kaifi azmi road, green valley, banjara hills, hyderabad",src5,3,17.42712,78.44473
811,src5_2540,banjara hills,"road number 1, avenue 4, banjara hills, hyderabad",src5,3,17.4136,78.45045
812,src5_2414,banjara hills kaman,"road number 12, mithila nagar, banjara hills, hyderabad",src5,3,17.40942,78.43793
813,src5_2415,banjara hills kaman,,src5,3,17.40997,78.43774
814,src5_2411,banjara hills kaman road number 12,,src5,3,17.40841,78.43857
815,node/1674225760,banjara hills rd12,,osm,4,17.41453,78.42473
816,308,banjara hills road no 12,banjara hills road n  to words  v.r.building,gps-logs-ghz|kodali-stops,2,17.40821,78.43877
817,795,banjara hills road no 7,banjarahills road no 7 towards care hospital,gps-logs-ghz|kodali-stops,2,17.41811,78.44891
818,805,banjara hills road no 7,banjarahills road no 7 towards vengalrao park,gps-logs-ghz|kodali-stops,2,17.41646,78.44881
819,src5_2544,banjara hills road no 7 / taj krishna,,src5,3,17.41648,78.44902
820,src5_2545,banjara hills road no 7 / taj krishna,"road number 1, zahara nagar, banjara hills, hyderabad",src5,3,17.41641,78.44875
821,src5_2422,banjara hills road number 2 brand factory,,src5,3,17.42545,78.43553
822,src5_2423,banjara hills road number 2 brand factory,,src5,3,17.42582,78.43587
823,462,banjara tanda,,shakti-gtfs,5,17.10351,78.42878
824,1893,bank colony,,shakti-gtfs,5,17.49686,78.4677
825,src5_2904,bank street,"bank street, sultan bazar, koti, hyderabad",src5,3,17.38549,78.48165
826,node/2199476226,bank street,,osm,4,17.38553,78.48163
827,565,bank street,,shakti-gtfs,5,17.38543,78.48159
828,src5_2189,bansilal nagar,"rajendra nagar road, bansilal nagar, budwel, hyderabad",src5,3,17.33665,78.41181
829,src5_2205,baphugahat,"langar house flyover, bapu nagar, langar houz, hyderabad",src5,3,17.37466,78.4187
830,src5_2974,bapu bagh colony,,src5,3,17.44014,78.47942
831,src5_2975,bapu bagh colony,,src5,3,17.44053,78.47931
832,423,bapu ghat,,shakti-gtfs,5,17.37304,78.41172
833,3829,bapu nagar,bapu nagar,gps-logs-ghz|kodali-stops,2,17.37374,78.41709
834,3830,bapu nagar,bapunagar towards,gps-logs-ghz|kodali-stops,2,17.37438,78.41789
835,src5_2203,bapu nagar,"langar house road, bapu nagar, langar houz, hyderabad",src5,3,17.37383,78.41728
836,src5_2204,bapu nagar,"langar house road, bapu nagar, langar houz, hyderabad",src5,3,17.37434,78.41786
837,src5_2206,bapu nagar,"langar house road, bapu nagar, langar houz, hyderabad",src5,3,17.37507,78.41929
838,594,bapu nagar,,shakti-gtfs,5,17.3744,78.41809
839,2043,bapuji nagar,bapuji nagar,gps-logs-ghz|kodali-stops,2,17.50214,78.53912
840,2052,bapuji nagar,bapuji nagar to,gps-logs-ghz|kodali-stops,2,17.50214,78.53936
841,2065,bapuji nagar,,shakti-gtfs,5,17.46773,78.48176
842,2051,bapuji nagar colony,,shakti-gtfs,5,17.50191,78.5392
843,node/582824406,bapuji nagar stop,,osm,4,17.46772,78.48185
844,src5_3000,bapuji nagar x road,,src5,3,17.46836,78.48112
845,src5_3001,bapuji nagar x road,,src5,3,17.46855,78.48129
846,src5_2367,barathnagar,,src5,3,17.46542,78.42962
847,1752,barkas,barkas,gps-logs-ghz|kodali-stops,2,17.31714,78.48154
848,1770,barkas,barkas towards,gps-logs-ghz|kodali-stops,2,17.31749,78.47948
849,src5_2829,barkas,,src5,3,17.31427,78.47849
850,src5_2830,barkas,,src5,3,17.31439,78.47838
851,457,barkas,,shakti-gtfs,5,17.31444,78.47845
852,449,barkathpura,barkatapura towards narayanguda,gps-logs-ghz|kodali-stops,2,17.39441,78.49884
853,956,barkathpura,barkathapura towards fever hospital,gps-logs-ghz|kodali-stops,2,17.39593,78.49717
854,1893,barkathpura,barkatpura towards narayanguda,gps-logs-ghz|kodali-stops,2,17.39454,78.49849
855,784,barkathpura depot,barkathpura  depot,gps-logs-ghz,2,17.39299,78.50124
856,src5_1114,barkatpura,,src5,3,17.39428,78.49868
857,src5_3093,barkatpura,"barkatpura road, chitrapuri colony, bagh lingampalli, narayanguda, hyderabad",src5,3,17.3959,78.49713
858,src5_3096,barkatpura,,src5,3,17.3944,78.49854
859,530,barkatpura,,shakti-gtfs,5,17.39452,78.49871
860,src5_1100,barkatpura bus depot,"rtc colony, kachiguda, hyderabad",src5,3,17.39257,78.501
861,src5_646,basaguda,basaguda thanda,src5,3,17.21822,78.44782
862,858,basavatarakam cancer hospital,basavatarakam cancer hospital towards trs bhavan,gps-logs-ghz|kodali-stops,2,17.4171,78.42874
863,src5_2934,basheer bagh to lb stadium,"lb stadium road, fateh maidan, abids, hyderabad",src5,3,17.40107,78.47497
864,1343,basheerbagh,basheerbagh towards liberty,gps-logs-ghz|kodali-stops,2,17.4018,78.47571
865,1353,basheerbagh,basheerbagh towards hyderguda,gps-logs-ghz|kodali-stops,2,17.40526,78.47692
866,src5_2939,basheerbagh,,src5,3,17.40208,78.47609
867,node/2710984314,basheerbagh,,osm,4,17.405,78.47691
868,535,basheerbagh,,shakti-gtfs,5,17.40106,78.47551
869,src5_2925,basheerbagh (l.b. stadium),,src5,3,17.39849,78.475
870,1400,baswapur,,shakti-gtfs,5,17.67903,78.53225
871,1227,bata,bata towards patny,gps-logs-ghz|kodali-stops,2,17.4352,78.49327
872,1230,bata,bata towards bible house,gps-logs-ghz|kodali-stops,2,17.43563,78.49382
873,src5_3153,bata,"rashtrapati road, old bhoiguda, rani gunj, secunderabad",src5,3,17.43541,78.49339
874,src5_3154,bata,,src5,3,17.43531,78.49365
875,src5_3155,bata,"rashtrapati road, pot market, maruthi veedhi, shivaji nagar, secunderabad",src5,3,17.43636,78.49398
876,256,bata,,shakti-gtfs,5,17.43555,78.49365
877,src5_2744,bata showroom / lakdikapul,,src5,3,17.40269,78.46212
878,src5_2745,bata showroom / lakdikapul,,src5,3,17.40278,78.46229
879,3570,bata singaram,batasingaram,gps-logs-ghz,2,17.30533,78.72955
880,3591,bata singaram,batasingaram,gps-logs-ghz,2,17.30544,78.72877
881,src5_12,bata singaram,,src5,3,17.30546,78.72935
882,src5_14,bata singaram,,src5,3,17.3054,78.72883
883,21,bata singaram,,shakti-gtfs,5,17.30531,78.72949
884,2350,batan guda,,shakti-gtfs,5,17.53205,78.51834
885,src5_91,bayyannaguda bus station,bayannaguda,src5,3,17.47866,78.0935
886,src5_2730,bazar ghat,,src5,3,17.39397,78.46288
887,575,bazar ghat,,shakti-gtfs,5,17.39425,78.4625
888,1781,bdl,bdl,gps-logs-ghz|kodali-stops,2,17.33237,78.51022
889,1782,bdl,bdl,gps-logs-ghz|kodali-stops,2,17.33343,78.50904
890,1444,bdl,,shakti-gtfs,5,17.33229,78.51008
891,330,bdl township,,shakti-gtfs,5,17.47001,78.16177
892,864,beemnagar,,shakti-gtfs,5,17.36879,78.45663
893,src5_291,beeramguda,,src5,3,17.50543,78.30693
894,src5_310,beeramguda,,src5,3,17.51124,78.30136
895,src5_325,beeramguda,,src5,3,17.51051,78.29669
896,src5_328,beeramguda,,src5,3,17.51637,78.30101
897,src5_337,beeramguda,,src5,3,17.51979,78.29973
898,src5_308,beeramguda pick up,,src5,3,17.50909,78.30036
899,1558,beeramguda village,,shakti-gtfs,5,17.51782,78.29961
900,src5_848,beerappa nagar,,src5,3,17.5013,78.4293
901,src5_850,beerappa nagar,,src5,3,17.50124,78.42917
902,2352,begarkancha,,shakti-gtfs,5,17.0503,78.56134
903,2488,begum bazar,begum bazar,gps-logs-ghz,2,17.37124,78.46865
904,2491,begum bazar,begum bazar towards,gps-logs-ghz,2,17.37158,78.46862
905,src5_2704,begum bazar,,src5,3,17.37141,78.46839
906,750,begum bazar,,shakti-gtfs,5,17.37124,78.47011
907,src5_2611,begumpet,,src5,3,17.44346,78.46039
908,src5_2809,begumpet,,src5,3,17.44503,78.46563
909,src5_794,begumpet,"near airport plaza, indian airlines colony, prakash nagar, begumpet, hyderabad",src5,3,17.44382,78.47098
910,node/817354374,begumpet,,osm,4,17.44214,78.4586
911,src5_796,begumpet - prakashnagar,"police lane, rasoolpura, begumpet, hyderabad",src5,3,17.44645,78.47479
912,292,begumpet arutla,,shakti-gtfs,5,17.624,78.22462
913,src5_2979,begumpet police line,,src5,3,17.44335,78.47845
914,src5_2978,begumpet police lines,,src5,3,17.44367,78.47855
915,2111,begumpet police lines,,shakti-gtfs,5,17.44364,78.47592
916,868,begumpet public school,bmtps towards rj college,gps-logs-ghz,2,17.44262,78.45906
917,808,begumpet public school,begumpet public school towards shyamlal,gps-logs-ghz|kodali-stops,2,17.44251,78.4587
918,src5_2609,begumpet public school,"begumpet, hyderabad",src5,3,17.44267,78.45876
919,src5_2610,begumpet public school,,src5,3,17.44237,78.45906
920,868,begumpet public school,,kodali-stops,5,17.44243,78.45904
921,src5_2608,begumpet public school north,"begumpet road, begumpet, hyderabad",src5,3,17.44215,78.45807
922,src5_2602,begumpet railway station,,src5,3,17.43833,78.45687
923,src5_2603,begumpet railway station,,src5,3,17.43827,78.45712
924,2315,begumpet railway station,,shakti-gtfs,5,17.43877,78.45723
925,2314,begumpet village,,shakti-gtfs,5,17.1079,78.55345
926,2103,bel,,shakti-gtfs,5,17.43795,78.57975
927,2113,bel x road,,shakti-gtfs,5,17.43922,78.57323
928,src5_907,bhadurpally,,src5,3,17.56099,78.43067
929,src5_3122,bhagyalakshmi nagar,,src5,3,17.42084,78.49246
930,428,bhagyalatha,bhagyalatha toeards autonagar,gps-logs-ghz|kodali-stops,2,17.33293,78.58887
931,src5_3968,bhagyalatha,,src5,3,17.3324,78.58919
932,src5_3969,bhagyalatha,,src5,3,17.3327,78.58966
933,src5_3970,bhagyalatha,"national highway 65, lecturers colony, hayathnagar, hyderabad",src5,3,17.3327,78.58913
934,src5_3971,bhagyalatha,"national highway 65, bhagyalatha colony, auto nagar, hyderabad",src5,3,17.33278,78.58901
935,node/2199508162,bhagyalatha,,osm,4,17.3328,78.58951
936,node/2217960523,bhagyalatha,,osm,4,17.33275,78.58905
937,667,bhagyalatha colony,,shakti-gtfs,5,17.33276,78.58928
938,src5_248,bhagyanagar colony,,src5,3,17.47204,78.32857
939,src5_249,bhagyanagar colony,,src5,3,17.47214,78.32869
940,src5_353,bhairkhanpally,"bhairkhanpally road, bhairkhanpally",src5,3,17.03303,78.35249
941,301,bhanoor,,shakti-gtfs,5,17.4903,78.17902
942,4067,bhanur x road,bhanur x road,gps-logs-ghz,2,17.45316,78.14476
943,4070,bhanur x road,bhanur x road t,gps-logs-ghz,2,17.45322,78.14479
944,src5_1019,bharat dynamic limited,,src5,3,17.33258,78.50972
945,src5_1020,bharat dynamic limited,"subedar malla reddy marg, virat nagar, kanchan bagh, hyderabad",src5,3,17.33228,78.51013
946,3974|src5_3850,bharat nagar,,gps-logs-ghz|kodali-stops|src5,1,17.46953,78.55326
947,3928,bharat nagar,bharat nagar d,gps-logs-ghz,2,17.53453,78.5382
948,874,bharat nagar,bharath nagar towards erragadda,gps-logs-ghz|kodali-stops,2,17.46707,78.42906
949,904,bharat nagar,bharat nagar towards moosapet,gps-logs-ghz|kodali-stops,2,17.46707,78.4287
950,3975,bharat nagar,bharat nagar rtc,gps-logs-ghz|kodali-stops,2,17.46985,78.5532
951,src5_2354,bharat nagar,,src5,3,17.4637,78.42823
952,src5_3848,bharat nagar,,src5,3,17.46832,78.55261
953,src5_3849,bharat nagar,,src5,3,17.46857,78.55281
954,137,bharat nagar,,shakti-gtfs,5,17.467,78.42892
955,189,bharat nagar kowkoor,,shakti-gtfs,5,17.53009,78.53954
956,2056,bharat nagar moula ali,,shakti-gtfs,5,17.46949,78.55323
957,src5_2114,bharath nagar,,src5,3,17.49765,78.39262
958,src5_2362,bharath nagar,"moosapet road, sp nagar, bharat nagar, moosapet, hyderabad",src5,3,17.467,78.42879
959,src5_2363,bharath nagar,,src5,3,17.46691,78.42928
960,src5_2368,bharath nagar,,src5,3,17.46473,78.43006
961,1357,bharath public school,,shakti-gtfs,5,17.48099,78.54446
962,src5_2222,bharatiya vidya bhavan school,"road number 82, film nagar, hyderabad",src5,3,17.41762,78.41097
963,src5_1583,bhashyam as rao nagar,,src5,3,17.47906,78.55743
964,src5_1584,bhashyam as rao nagar,"doctor as rao nagar road, thyagaraya nagar, swamik nagar, dr as rao nagar, secunderabad",src5,3,17.47898,78.55727
965,src5_190,bhaskar hospital,,src5,3,17.33279,78.29891
966,src5_191,bhaskar hospital,,src5,3,17.33282,78.29866
967,1707,bhatia bakery,bhatia bakery towards,gps-logs-ghz|kodali-stops,2,17.5,78.50981
968,1708,bhatia bakery,bhatia bekari,gps-logs-ghz|kodali-stops,2,17.4997,78.51005
969,src5_1193,bhatia bakery,,src5,3,17.49988,78.50977
970,src5_1194,bhatia bakery,"mrk road, maruthi nagar, alwal, secunderabad",src5,3,17.49992,78.50984
971,src5_1195,bhatia bakery,,src5,3,17.49977,78.50988
972,1732,bhatia bakery,,shakti-gtfs,5,17.49956,78.51151
973,2353,bhavanandapuram,,shakti-gtfs,5,17.72772,78.71747
974,src5_711,bhavani colony,"bhavani colony, budwel, hyderabad",src5,3,17.32716,78.41995
975,1464,bhavani colony,,shakti-gtfs,5,17.32719,78.42022
976,3978,bhavani nagar,bhavani nagar t srn,gps-logs-ghz,2,17.48111,78.56392
977,3979,bhavani nagar,bhavani nagar f,gps-logs-ghz,2,17.48114,78.56403
978,2025,bhavani nagar nacharam,,shakti-gtfs,5,17.43842,78.57023
979,2504,bheem nagar,bheem nagar towards ziaguda,gps-logs-ghz,2,17.3697,78.45061
980,2505,bheem nagar,bheem nagar,gps-logs-ghz,2,17.36997,78.45086
981,src5_2493,bheem nagar,,src5,3,17.3698,78.451
982,src5_2494,bheem nagar,,src5,3,17.36975,78.45083
983,3646,bhel,bhel towards,gps-logs-ghz,2,17.51933,78.2908
984,src5_172,bhel,,src5,3,17.51359,78.28819
985,src5_179,bhel,,src5,3,17.51899,78.2899
986,src5_1956,bhel,,src5,3,17.49174,78.29215
987,src5_304,bhel,,src5,3,17.49714,78.31465
988,src5_313,bhel,,src5,3,17.49581,78.31579
989,src5_321,bhel,,src5,3,17.49496,78.31664
990,132,bhel,,shakti-gtfs,5,17.49873,78.29183
991,177,bhel church,,shakti-gtfs,5,17.49941,78.30835
992,src5_3008,bhel colony,,src5,3,17.46432,78.48432
993,src5_311,bhel colony,,src5,3,17.50889,78.29945
994,1283,bhel colony,,shakti-gtfs,5,17.46467,78.48332
995,src5_301,bhel hospital,,src5,3,17.49927,78.30371
996,src5_302,bhel hospital,"bharat heavy electricals limited, hyderabad",src5,3,17.49934,78.30353
997,130,bhel hospital,,shakti-gtfs,5,17.49931,78.30403
998,src5_305,bhel park,"bharat heavy electricals limited, ramachandrapuram-bhel township",src5,3,17.49524,78.30909
999,2005,bhel park,,shakti-gtfs,5,17.49538,78.30883
1000,src5_334,bhel pushpak,,src5,3,17.51211,78.29301
1001,src5_336,bhel pushpak,,src5,3,17.51209,78.29234
1002,3655,bhel quarters,bhel quarters,gps-logs-ghz|kodali-stops,2,17.50584,78.49061
1003,3662,bhel quarters,bhel quarters,gps-logs-ghz|kodali-stops,2,17.50596,78.4907
1004,2355,bhel quarters,,shakti-gtfs,5,17.50619,78.49182
1005,531,bhel r and d,,shakti-gtfs,5,17.46393,78.45807
1006,131,bhel temple,,shakti-gtfs,5,17.49989,78.29901
1007,1400,bhoiguda,bhoiguda towards gandhi hospital,gps-logs-ghz|kodali-stops,2,17.42738,78.50205
1008,src5_3273,bhoiguda,,src5,3,17.42721,78.50209
1009,src5_3274,bhoiguda,"bhoiguda road, m.i.g.h colony, old ghasmandi, bhoiguda, secunderabad",src5,3,17.42781,78.50193
1010,435,bhoiguda,,shakti-gtfs,5,17.42784,78.50201
1011,945,bhoiguda kaman,,shakti-gtfs,5,17.38239,78.46179
1012,src5_2535,bhola nagar,,src5,3,17.40793,78.45053
1013,src5_2536,bhola nagar,"road number 12, sai enclave, bhola nagar, بنجارا ہلس‬, hyderabad",src5,3,17.40811,78.45041
1014,src5_2537,bhola nagar,"road number 12, sai enclave, bhola nagar, banjara hills, hyderabad",src5,3,17.40791,78.44975
1015,764,bholakpur,,shakti-gtfs,5,17.42176,78.49682
1016,1447,bhongir,,shakti-gtfs,5,17.51462,78.88433
1017,src5_102,bhongiri bus stand,,src5,3,17.51621,78.88671
1018,src5_45,bhoodan pochampalli,,src5,3,17.3485,78.8209
1019,src5_46,bhoodan pochampalli gandhi statue,,src5,3,17.3503,78.81897
1020,node/3530710154,bhoodevi nagar,,osm,4,17.49151,78.5031
1021,node/3530722779,bhoodevi nagar junction,,osm,4,17.49197,78.50498
1022,1460,bhudevi nagar,,shakti-gtfs,5,17.49235,78.50298
1023,3028,bhulakshmi nagar,bhulakshmi nagar,gps-logs-ghz|kodali-stops,2,17.32924,78.58101
1024,4066,bhulkapur,bhulkapur,gps-logs-ghz,2,17.44486,78.15883
1025,4071,bhulkapur,bhulkapur t,gps-logs-ghz,2,17.44486,78.15894
1026,src5_3670,bhupesh guptha nagar,,src5,3,17.33255,78.53774
1027,src5_3671,bhupesh guptha nagar,,src5,3,17.33272,78.5378
1028,114,bhupesh guptha nagar,,shakti-gtfs,5,17.33751,78.53603
1029,src5_3672,bhupesh nagar 1,,src5,3,17.33494,78.53732
1030,src5_3673,bhupesh nagar 1,,src5,3,17.33472,78.53733
1031,src5_100,bhuvanagiri town,,src5,3,17.5076,78.88015
1032,4931,bhuvangiri,bhuvangiri d,gps-logs-ghz,2,17.51598,78.88691
1033,1903,bibi bazar,b1 bazar to,gps-logs-ghz|kodali-stops,2,17.35822,78.47932
1034,src5_2848,bibi bazar,,src5,3,17.35883,78.47938
1035,src5_2849,bibi bazar,,src5,3,17.35847,78.47919
1036,src5_2847,bibi bazar x road,"moghalpura road, kotla alijah, moghalpura, hyderabad",src5,3,17.35849,78.47905
1037,4553,bibi nagar,bibi nagar,gps-logs-ghz,2,17.47634,78.79721
1038,src5_50,bibi nagar,,src5,3,17.47324,78.79293
1039,798,bibi nagar,,shakti-gtfs,5,17.47645,78.79727
1040,1168,bible house,bible house towards boats club,gps-logs-ghz|kodali-stops,2,17.43101,78.49225
1041,1589,bible house,bible house towards kavadi guda,gps-logs-ghz|kodali-stops,2,17.4309,78.49264
1042,src5_3145,bible house,,src5,3,17.43077,78.49232
1043,src5_3148,bible house,"rashtrapati road, jeera, bhoiguda, secunderabad",src5,3,17.43041,78.49227
1044,src5_3149,bible house,,src5,3,17.4304,78.49254
1045,src5_3151,bible house,,src5,3,17.43049,78.49263
1046,node/2710981523,bible house,,osm,4,17.43042,78.49218
1047,255,bible house,,shakti-gtfs,5,17.43085,78.49247
1048,src5_2584,big bazaar hyd,,src5,3,17.43088,78.44903
1049,src5_2587,big bazaar hyd,,src5,3,17.43084,78.44864
1050,905,bijilipur,,shakti-gtfs,5,17.76344,78.44187
1051,src5_633,bijlipur bus station,"bijlipur station road, 10",src5,3,17.76375,78.41475
1052,src5_2044,biodiversity park,"old mumbai highway, silpa gram craft village, hitec city, hyderabad",src5,3,17.42815,78.37535
1053,src5_2045,biodiversity park,"prof cr road, biodiversity park, gachibowli, hyderabad",src5,3,17.42818,78.37538
1054,1246,biodiversity park,,shakti-gtfs,5,17.42796,78.37531
1055,src5_1867,"biological e. ltd , genome valley","genome valley road, turkapally",src5,3,17.66509,78.61939
1056,src5_2255,bipin road ways,"sangeet nagar, kukatpally, hyderabad",src5,3,17.48083,78.41737
1057,node/728331506,birla mandir,,osm,4,17.40463,78.46762
1058,1682,bismillah colony,,shakti-gtfs,5,17.30742,78.48938
1059,src5_1595,bits pilani,"bits pilani hyderabad campus, jawahar nagar, shameerpet mandal, hyderabad",src5,3,17.54739,78.5723
1060,node/4293343216,bits pilani,,osm,4,17.54723,78.57251
1061,908,bits pilani,,shakti-gtfs,5,17.5474,78.57233
1062,912,bits pilani x road,,shakti-gtfs,5,17.55413,78.56752
1063,2346,bjp quarters,,shakti-gtfs,5,17.32544,78.51974
1064,492,bjr college,bjr college  towards  lakadikapool,gps-logs-ghz|kodali-stops,2,17.40477,78.46104
1065,862,bk guda park,,shakti-gtfs,5,17.447,78.44579
1066,src5_1419,blinds colony,"weaker section colony, nagole, hyderabad",src5,3,17.37885,78.57076
1067,2066,blood bank,,shakti-gtfs,5,17.39297,78.4895
1068,807,blue moon hotel,bluemoon hotel towards rj college,gps-logs-ghz|kodali-stops,2,17.4307,78.45588
1069,867,blue moon hotel,bluemoon hotel towards panjagutta,gps-logs-ghz|kodali-stops,2,17.42906,78.45561
1070,1851,blue moon hotel,,shakti-gtfs,5,17.4306,78.45601
1071,src5_1357,bn reddy,,src5,3,17.32074,78.56154
1072,src5_1362,bn reddy,,src5,3,17.32039,78.56055
1073,32,bn reddy colony,,shakti-gtfs,5,17.32071,78.56044
1074,1103,bn reddy nagar,bn reddy nagar towards hastinapuram,gps-logs-ghz|kodali-stops,2,17.32178,78.55998
1075,1133,bn reddy nagar,b n reddy nagar towards sagar complex,gps-logs-ghz|kodali-stops,2,17.32007,78.56075
1076,src5_1363,bn reddy nagar,"nagarjuna sagar road, b n reddy nagar, hyderabad",src5,3,17.32011,78.56066
1077,src5_1367,bn reddy nagar,,src5,3,17.31683,78.56111
1078,1716,bn reddy nagar,,shakti-gtfs,5,17.45903,78.5948
1079,1169,boats club,boats club towards ranigunj depot,gps-logs-ghz|kodali-stops,2,17.42852,78.48835
1080,1381,boats club,boarts club towards bible house,gps-logs-ghz|kodali-stops,2,17.42898,78.48897
1081,src5_3132,boats club,,src5,3,17.42829,78.48789
1082,src5_3133,boats club,,src5,3,17.4284,78.48775
1083,src5_3136,boats club,"rashtrapati road, hyderbasthi, rani gunj, secunderabad",src5,3,17.42892,78.48952
1084,254,boats club,,shakti-gtfs,5,17.42548,78.48634
1085,src5_3125,boats club (rp road),"tank bund road, hussain sagar, khairatabad, hyderabad",src5,3,17.42408,78.48589
1086,src5_3126,boats club (rp road),,src5,3,17.42445,78.48615
1087,src5_1306,bodicherla,"national highway 44, athvelly, medchal",src5,3,17.65104,78.48926
1088,src5_351,bodunam pally,bodunam pally,src5,3,16.92951,78.35919
1089,src5_3950,boduppal,"veera reddy nagar, annapurna colony, boduppal, hyderabad",src5,3,17.42208,78.58043
1090,src5_3974,boduppal,"venkateswara colony, sai nagar, boduppal, hyderabad",src5,3,17.40452,78.58669
1091,2009,boduppal ambedkar statue,boduppal ambethkar statue to,gps-logs-ghz|kodali-stops,2,17.41829,78.58468
1092,node/310446922,boduppal ambedkar statue,,osm,4,17.41837,78.58452
1093,2005,boduppal colony,boduppal colony,gps-logs-ghz|kodali-stops,2,17.42213,78.58028
1094,2010,boduppal colony,bodupal colony,gps-logs-ghz|kodali-stops,2,17.42207,78.58032
1095,src5_1785,boduppal line,"bod uppal line, beside zonal work shop, hyderabad",src5,3,17.4046,78.58683
